title:Gourmend/Herbalist Find Herbs Tables
[[toc]]

**Wiki Note:** Many of the options below are marked with asterisks. These don't matter for standard searches, but some archetypes (such as the [[[Entomologist]]]) interact with the Find Herbs table in different ways, and typically don't collect any herbs marked this way. See each archetype for more details on how they use these tables.

----

+ ##000000|10-Point Desert Find Herbs Table##

||~ d20 ||~ Plants Found ||
|| 1 || Barbary Fig x1*, Cholla Cactus, Desert Thorn-Apple x1*, Palmer's Agave x1, Scarlet Pimpernel x1*, Venus Hair Fern x1* ||
|| 2 || Barbary Fig x1, Cholla Cactus x1, Desert Thorn-Apple x1, Elderberries x1*, Palo Verde Bark x1, Scarlet Pimpernel x1, Spider Milkweed x1*, Venus Hair Fern x1* ||
|| 3 || Barbary Fig x1, Cholla Cactus x1*, Cinderbloom x1*, Desert Thorn-Apple x1, Needlegrass x1, Palo Verde Bark x1, Spider Milkweed x1, Venus Hair Fern x1 ||
|| 4 || Barbary Fig x1, Cinderbloom x1, Desert Thorn-Apple x1, Elderberries x1, Palmer's Agave x1* ||
|| 5 || Barbary Fig x1*, Cinderbloom x1*, Desert Thorn-Apple x1*, Elderberries x1, Palo Verde Bark x1*, Specifitine x1, Ubiquitine x1*, Venus Hair Fern x1||
|| 6 || Barbary Fig x1, Cinderbloom x1*, Desert Thorn-Apple x1, Scarlet Pimpernel x1, Specifitine x2*, Ubiquitine x2, Venus Hair Fern x1 ||
|| 7 || Barbary Fig x1*, Desert Thorn-Apple x1*, Flametongue x1, Palmer's Agave x1, Scarlet Pimpernel x1*, Venus Hair Fern x1* ||
|| 8 || Barbary Fig x1, Cinderbloom x1*, Desert Thorn-Apple x1, Flametongue x1, Palo Verde Bark x1, Scarlet Pimpernel x1*, Ubiquitine x1, Venus Hair Fern x1* ||
|| 9 || Barbary Fig x1, Cholla Cactus x1, Desert Thorn-Apple x1, Opium Poppy x1*, Spider Milkweed x1, Venus Hair Fern x1 ||
|| 10 || Barbary Fig x1, Cinderbloom x1, Palmer's Agave x1*, Palo Verde Bark x1, Specifitine x1, Venus Hair Fern x1 ||
|| 11 || Barbary Fig x1, Cholla Cactus x1*, Creosote Bush x1, Desert Thorn-Apple x1, Palo Verde Bark x1*, Specifitine x1* ||
|| 12 || Barbary Fig x1*, Cinderbloom x1, Needlegrass x1*, Opium Poppy x1, Palo Verde Bark x1*, Spider Milkweed x1* ||
|| 13 || Barbary Fig x2, Elderberries x1, Needlegrass x1, Opium Poppy x1*, Spider Milkweed x1 ||
|| 14 || Barbary Fig x1, Cholla Cactus x1, Creosote Bush x1, Needlegrass x1, Palo Verde Bark x1, Spider Milkweed x1 ||
|| 15 || Barbary Fig x1*, Desert Thorn-Apple x1, Elderberries x1, Flametongue x1, Needlegrass x1*, Palo Verde Bark x1, Scarlet Pimpernel x1*, Speficitine x1*||
|| 16 || Barbary Fig x1, Flametongue x1, Needlegrass x1, Palo Verde Bark x1, Scarlet Pimpernel x1, Specifitine x2*, Ubiquitine x2* ||
|| 17 || Barbary Fig x1*, Creosote Bush x1, Elderberries x1*, Scarlet Pimpernel x1, Specifitine x1*, Spider Milkweed x1 ||
|| 18 || Barbary Fig x1, Flametongue x1*, Needlegrass x1, Specifitine x2, Spider Milkweed x1*, Ubiquitine x2, Venus Hair Fern x1* ||
|| 19 || Barbary Fig x1, Flametongue x1, Needlegrass x1, Scarlet Pimpernel x1, Specifitine x2, Spider Milkweed x1*, Ubiquitine x2* ||
|| 20 || Barbary Fig x1*, Creosote Bush x1, Flametongue x1*, Needlegrass x1, Scarlet Pimpernel x1, Spider Milkweed x1* ||

----

+ ##000000|10-Point Forest Find Herbs Table##

||~ d20 ||~ Plants Found ||
|| 1 || Baneberry x1*, Black Alder Bark x1*, Common Yarrow x1, Ubiquitine x1, Wild Strawberry x1*, Yellow Morel x1 ||
|| 2 || Baneberry x1, Chimera's Fang x1*, Common Yarrow x1, Puckerberry x1, Wild Strawberry x1 ||
|| 3 || Acorn x1, Baneberry x1, Black Alder Bark x1, Common Yarrow x1*, Conkers x1*, Dryad's Saddle x1*, Hen of the Woods x1, Muskroot x1, Venus Hair Fern x1* ||
|| 4 || Baneberry x1, Common Yarrow x1, Dryad's Saddle x1, Elderberries x1, Venus Hair Fern x1, Yellow Morel x1* ||
|| 5 || Baneberry x1*, Black Alder Bark x1, Chimera's Fang x1, Common Yarrow x1, Elderberries x1*, Venus Hair Fern x1*||
|| 6 || Acorn x1, Common Yarrow x1, Conkers x1, Dryad's Saddle x1*, Fool's Parsley x1*, Hen of the Woods x1, Muskroot x2, Venus Hair Fern x1* ||
|| 7 || Black Alder Bark x1*, Common Yarrow x1*, Fool's Parsley x1, Hen of the Woods x1*, Venus Hair Fern x1, Yellow Morel x1 ||
